,id,comment,author,likecount,publishedAt
0,UgwEdM2cqHotXw_pd4Z4AaABAg,HEY! don't forget to follow me on instagram! https://instagram.com/thebodylanguageguy,The Body Language Guy,15,2021-09-27T17:18:48Z
1,UgwJZKEwnA9p4jXJRx94AaABAg,Recollections may vary. 😂,Cindy Reinhardt,0,2021-11-19T00:37:31Z
2,Ugx-Q1rmlwDatvE3l4N4AaABAg,Love Johnny,dani taamallah,0,2021-11-16T11:27:56Z
3,Ugz3Ph_ZruLwMFmw6at4AaABAg,Just have to tell you that I put on your videos when I need a smile. Just the way you say your name gets me every time.,Claudia Stokes,0,2021-11-15T12:07:20Z
4,UgzQsEBaHi1kB3K3K5N4AaABAg,"Can't imagine wanting Franco when she had Johnny. No disrespect, but really?",Claudia Stokes,0,2021-11-15T12:05:23Z
5,UgxsbL6FnhK8qYpnul94AaABAg,Stop falling in love with the character the writer created.,Deana Wheatle,0,2021-11-14T05:31:44Z
6,UgwyCUgK-GrtWmDC-Y94AaABAg,"your jokes are killer, dude!! 😂",Alyssa W,0,2021-11-14T02:27:37Z
7,UgxhJjv-u5tx6E1ssgR4AaABAg,Bruises take up to 3 weeks to resolve.,Roses,0,2021-11-13T13:45:52Z
8,Ugy_Me1hyQVhXoAa9yV4AaABAg,"She’s gonna end up a very lonely old person, men will still come around but only for ONE thing.. cuz she may be pretty, but at the end of the day, looks will only take you so far and no one wants to stick around a lying, selfish, greedy, abusing narcissist. NOone.",Katy Bug65,1,2021-11-13T11:12:33Z
9,UgwYB6zOQ7xPTPmco5R4AaABAg,She NEVER paid the settlement to charity she lied and kept putting it off even after Johnny said- why don’t I just send it to the charity of your choice directly instead for you?? But of course she said NO n kept it all for her lying beyotch greedy self. Ugh she’s so gross it’s on a totally different level,Katy Bug65,1,2021-11-13T11:00:14Z
10,UgzRvHdYEwi06vDBRJN4AaABAg,Dakota is very cluey. Nothing gets past her.  We need more of her in this world,Pinky Almeroth,0,2021-11-12T22:33:48Z
11,UgwwGD_UnxlrE8ggf5d4AaABAg,So James Franco is a scumbag eh?,shadowkill546,0,2021-11-12T16:12:30Z
12,Ugyxhgr-1dKBH53yDJh4AaABAg,"""Se---even million dollars in total was donated."" Yeah, okay",Katayi Kaskas,0,2021-11-12T13:18:57Z
13,UgyyvwJ_GO6E6DVOaaB4AaABAg,She vibes so much like Meghan Markle.,j2010,0,2021-11-12T09:17:35Z
