,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxNEoaGMwsFYJBMW414AaABAg,Luca Ruiz Diaz,"No puedes comparar empujarla e insultarla (Ni siquiera son insultos pues le dice su verdad) con golpearlo múltiples veces sabiendo que si el te toca  puedes demandarlo con suma facilidad y llegar a cortarle la punta de un dedo hasta el punto que perdió dicha punta.

Amber no solo es una manipuladora y mentirosa, es una provalecida.",2021-09-16T12:53:25Z,1
1,UgwVUjt2cY0UanltyY54AaABAg,Jeleyka Santiago Garrastazú uwu,"de verdad, él es el más que merece respetó y que esa loca se vaya a prisión por que que mucho a pasado él..",2021-08-31T03:37:03Z,0
2,UgwJpEFpTxFpryuDffR4AaABAg,vidrio roto,"Esos son hashtags feministas. Que mierda, tenes el cerebro en algún lugar donde no debería?",2021-06-24T14:54:08Z,0
3,Ugycar-sH_XR8Sd-4GJ4AaABAg,Alejandra Romero,"@Luca Ruiz Diaz no leí nada pero supongo que defiendes a depp,no me interesa,se sabe que el no es un santo 🤷🏻‍♀️",2021-09-16T14:50:17Z,0
4,Ugycar-sH_XR8Sd-4GJ4AaABAg,Luca Ruiz Diaz,"@Alejandra Romero ¿Lo estás diciendo de manera irónica?

Flaca, Amber lo golpeaba y atacaba con objetos Sabiendo que si Johhny le ponía un dedo encima ella solo debía gritar o denunciarlo de manera limpia, siendo una provalecida de su posición. Eso justamente fue lo que paso ya que cuando ella lo denuncio fue cuestión de meses que le caguen la vida a Johnny pero cuando fue al revés, hasta ahora de sigue deliberando.

Cómo esperas que la persona que estas atacando reaccione, con caricias? No. Ni siquiera la golpeo, la empujo. De hecho, si la hubiera golpeado bien merecido lo tenía.",2021-09-16T12:57:29Z,0
5,Ugycar-sH_XR8Sd-4GJ4AaABAg,Alejandra Romero,"Y con eso ya queda excusado Johnny del maltrato hacia Amber,buena jugada ese depp",2021-05-11T01:00:48Z,0
6,UgzuAhJIdJUPni-O4tJ4AaABAg,Alejandra Romero,"@vidrio roto no y pues con razón lo ves normal convives con adictos y lo normalizas,que tú lo veas normal y hasta la fecha convivas con ellos no quiere decir que lo sea,no pues con razón excusas a Depp,más coherencia y sentido común porfavor,ridicul@",2021-06-24T21:27:37Z,0
7,UgzuAhJIdJUPni-O4tJ4AaABAg,Alejandra Romero,"@vidrio roto me falta experiencia en adicciones? 🤣 Todo adicto es difícil,siempre habrá violencia,si no es física es psicológica,crees que vivir en un ambiente de adicciones podrá ser sano? Podrás llevar una vida normal? Jamás,no seas wey,quién decía que bebía aislado de ella? El? El podrá decir lo que sea,un alcohólico beberá en cualquier ocasión que se le presente,beber alejado de ella a tres metros? Viviendo juntos? Lo que dices suena totalmente incoherente,ponte a pensar mas,aparte de alcohólico consume drogas,porfavor!! Ve a con un psicólogo si piensas que podrías vivir una vida normal viviendo con un adicto",2021-06-24T21:25:22Z,0
8,UgzuAhJIdJUPni-O4tJ4AaABAg,Alejandra Romero,"@vidrio roto hay un vídeo,y el perdió contra una revista que dijo que era un golpeador de mujeres porque es parcialmente cierto,que te corta tienes que estar de intelecto para no ver eso?",2021-06-24T15:44:00Z,0
9,UgzuAhJIdJUPni-O4tJ4AaABAg,vidrio roto,"@Alejandra Romero La empujó pero ella le lanzaba cosas y lo agredía. Que hipócrita hay que ser. Ademas, en que momento le gritó? No hay más que la palabra de la loca y que le creeas siendo que se expuso cada una de sus mentiras habla mal de tu intelecto.",2021-06-24T15:15:11Z,0
10,UgzuAhJIdJUPni-O4tJ4AaABAg,vidrio roto,"@Alejandra Romero De hecho no, decía que bebía aislado de ella y un adicto no es siempre agresivo, los que conozco se ponen más estúpidos que cualquier otra cosa. En todo caso serás tú la tonta porque de verdad, no me das la impresión de que te falta experiencia, me parece que tu cabeza no da más.",2021-06-24T15:13:41Z,0
11,UgzFP_8wDDMgNDea55d4AaABAg,Alejandra Romero,Amber heard es rica también,2021-05-11T01:07:29Z,0
12,Ugw9MlDAbW0mWYh6hoN4AaABAg,vidrio roto,Anda a simpear a otro lado.,2021-06-24T14:56:49Z,0
13,Ugw9MlDAbW0mWYh6hoN4AaABAg,GD4011,Le apreciaba tan poco que hasta lo engañaba y maltrataba,2021-03-05T02:42:23Z,1
14,Ugw9MlDAbW0mWYh6hoN4AaABAg,GD4011,"Amber tambien le era infiel a jonny ella decia que era solo un amigo, luego de el divorcio hizo publico su noviazgo con ese tal amigo",2021-03-05T02:41:55Z,1
15,UgzJsoSBWIUvRtoXp8t4AaABAg,vidrio roto,Quién te crees que sos xDD se nota la poca madurez que tienes a pesar de tener un pie dentro del ataúd ya.,2021-06-24T14:57:46Z,0
16,Ugy1ERD3mGolm2F6wcx4AaABAg,BIGV 4065,"Pues la cosa es que en estos casos siempre tienden a ponerse del lado de la mujer, tanto los medios, el aparato judicial, los simples espectadores, la política, etc, así que es un caso que genera mucha atención porque demuestra como el pensamiento clásico de ""mujer víctima hombre victimario"" no es absoluto, y hay casos donde la mujer es la violenta y el hombre o no lo es o es mas bien en respuesta o como defensa",2021-08-11T04:15:46Z,0
17,Ugy1ERD3mGolm2F6wcx4AaABAg,Joanna Royan,"@vidrio roto si, ambos si",2021-06-24T15:50:06Z,0
18,Ugy1ERD3mGolm2F6wcx4AaABAg,vidrio roto,"No, ambos no.",2021-06-24T14:58:09Z,0
19,Ugy1ERD3mGolm2F6wcx4AaABAg,Soy De Cine,Touché,2021-02-03T06:59:24Z,0
20,UgwNAwd6-UNXIyVUjgV4AaABAg,no se que poner,Solamente a amber,2021-02-25T03:09:46Z,0
21,Ugx1706iD11VGAL686R4AaABAg,The Alchemist Fox,"Vo eri weon cierto? Como te ríes sobre este caso, el apoyo va porque un pobre ser humano no merece ser tratado de esta manera, de verdad te mofas quitándole lo serio a esto? Y más encima afirmando que los fans son el problema, amigo de verdad estas igual de enfermo que la amber",2021-01-02T00:39:17Z,5
22,UgzPpld2YLa35BQYei54AaABAg,ChanSooly,Una actriz,2020-12-29T16:19:38Z,0
23,UgzDLyRJHegBVAVfBqx4AaABAg,ChanSooly,Creo que era por terapia de pareja,2020-12-29T16:19:55Z,0
24,UgzDLyRJHegBVAVfBqx4AaABAg,Víctor Arevalo,Lo grabó un terapeuta,2020-12-14T03:39:20Z,0
25,UgzDLyRJHegBVAVfBqx4AaABAg,Mauricio Martínez,"O ella grabó, ni idea...",2020-11-28T03:08:04Z,0
26,UgwgCLEdShdsg8JSYnF4AaABAg,KP .40,"@Luca Ruiz Diaz jajaja comprendo, pero decir que es el Johnny el psicópata uff debes ser muy hater",2021-09-16T20:32:27Z,0
27,UgwgCLEdShdsg8JSYnF4AaABAg,Luca Ruiz Diaz,@KP .40 No le des importancia. Esta respondiendo en todos lados en contra de Johnny.,2021-09-16T13:01:47Z,0
28,UgwgCLEdShdsg8JSYnF4AaABAg,KP .40,@Alejandra Romero Jonny es el psicópata?,2020-12-08T23:58:15Z,1
29,UgwgCLEdShdsg8JSYnF4AaABAg,Alejandra Romero,"Yo creo que es la manera en la que interpretas el audio,yo interpretó que Amber está enojada porque Depp está siendo pasivo agresivo,primero hacen enojar y después actúan como si nada hubiera pasado,psicópata total el depp",2020-11-29T05:25:57Z,0
30,Ugx4PYer87IfTC8BOeJ4AaABAg,no se que poner,@Alejandra Romero no si alguien te golpea esta bien que se lo debuelvas no importa que sea mujer,2021-02-25T03:14:47Z,0
31,Ugx4PYer87IfTC8BOeJ4AaABAg,Alejandra Romero,"Desafortunadamente las mujeres tenemos una fuerza inferior a la de los hombres,claro que está mal ponerte en contra de una mujer",2020-11-29T06:02:12Z,0
32,UgwahbCBg018cw3Xn014AaABAg,no se que poner,@Alejandra Romero lo grabaron en una terapia de pareja,2021-02-25T18:43:41Z,1
33,UgwahbCBg018cw3Xn014AaABAg,Alejandra Romero,"@no se que poner entonces el fantasma dela opera,o el perro?",2021-02-25T18:41:01Z,0
34,UgwahbCBg018cw3Xn014AaABAg,no se que poner,@Alejandra Romero el no lo grabo,2021-02-25T03:15:56Z,0
35,UgwahbCBg018cw3Xn014AaABAg,Alejandra Romero,Pues claro porque el es el que está grabando el audio no puede alterarse en su propio audio ya que de echaría la soga al cuello 🤦,2020-11-29T06:03:02Z,0
36,UgxbWubWDuC2zWYG5S54AaABAg,Luca Ruiz Diaz,Era una terapia de pareja.,2021-09-16T13:02:48Z,0
37,UgxbWubWDuC2zWYG5S54AaABAg,Alejandra Romero,@angel sí,2021-01-10T20:10:03Z,0
38,UgxbWubWDuC2zWYG5S54AaABAg,angel,@Alejandra Romero no .-.,2021-01-10T20:05:56Z,0
39,UgxbWubWDuC2zWYG5S54AaABAg,Alejandra Romero,Sí,2020-11-29T06:03:30Z,0
40,UgyCWXRz_TNP8uyi9Xl4AaABAg,Antonio Magariño Durán,La television se cree que no sabemos que es un negocio en el que se mueve dinero?,2020-11-20T22:13:29Z,0
