,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugy8DegM8imcvG4bLnF4AaABAg,WhiteBeard SkyDaddy,Hey Mamoa!!  Amber Turd's gonna ruin your good thing!!,2020-09-02T22:49:13Z,0
1,UgxjIAPyHkI3S5107YB4AaABAg,The Guy,"Yeah poor multi-millionaire Psycho, she just needs love and understanding. Nevermind all the shit she put johnny depp through like slicing his finger tip off as long as she is happy. GTFO you clown.",2020-09-02T19:51:29Z,0
2,UgyhjMityQIUEeRObKF4AaABAg,Leslie Porter,Perhaps Warner Bros. should be cautious.,2020-09-02T19:06:06Z,0
3,UgyPY679H079oYt3kZl4AaABAg,The Beast,@Nuclearsimian I find your lack of faith disturbing.,2020-09-02T18:10:58Z,0
4,UgyPY679H079oYt3kZl4AaABAg,Nuclearsimian,You're *happy* a domestic abuser and liar is back in the movie...because she's hot.  Quite possibly the most shallow comment possible.,2020-09-02T18:01:06Z,3
5,Ugwf9gAEFaV9zR0Y8W94AaABAg,Midnight's Edge,"The likes are from people who enjoyed the delivery and presentation of the video itself; then they express their disappointment with the news presented in the comments. You see, the dislike function is more about expressing your displeasure with the creator of the video than it is about your feelings on the news presented.",2020-09-02T16:38:22Z,1
6,UgzJMQPa7QbHmoie8YZ4AaABAg,Midnight's Edge,"No, one was pretty clear in court documents that that was the worst.",2020-09-02T16:42:24Z,0
7,Ugynv9xqLaTPENce7RZ4AaABAg,ZegetaX1,Seth Hultkrantz good point your absolutely right,2020-09-02T16:13:23Z,0
8,UgxCaFIqUFlnI72vYhR4AaABAg,Mister Obvious,"Correct, this is the correct action, all fans tell Warners we will not pay to see a film with Amber Heard in it.  That's all we can practically do",2020-09-04T11:20:26Z,0
9,UgwulfuDVd6a5dFH0pF4AaABAg,ericdxfan511,Including the Snyder Cut?,2020-09-03T00:44:27Z,0
10,Ugy-8cnNbVDrKCLfbg54AaABAg,40 Mihir Kulkarni,"The problem with that is she would still get paid for that few minutes in the movie. She should have been in jail with her career destroyed 3 years ago, that was the right punishment for her, but the fact that she's still walking free is proof that society is fucked up beyond repair",2020-09-03T11:40:23Z,0
11,UgxzN7Fp_RS_QLvewJ94AaABAg,ericdxfan511,Yeah because the boycott of Captain Marvel/Brie Larson worked so well.,2020-09-03T00:43:52Z,0
12,UgzpoitFsiP8YVgnIXN4AaABAg,Hans Hoffmann,@ericdxfan511 none of your examples compare to what Amber Heard has done.,2020-09-11T20:18:51Z,0
13,UgzpoitFsiP8YVgnIXN4AaABAg,ericdxfan511,but they hired James Gunn After Marvel got rid of him for his old tweets and Ezra Miller is still the Flash.,2020-09-03T00:41:48Z,0
14,Ugws74IfhZavRIMZaCF4AaABAg,40 Mihir Kulkarni,"What did Miller do? As far as I know, that choking video of him was proven to be staged. The woman was even laughing along with him",2020-09-03T11:37:14Z,1
15,Ugz-ieUZj_OUw0XfChh4AaABAg,Alejandra Martinez,@The Beast hahahahahah its like your soul horrible,2020-09-03T03:21:29Z,0
16,Ugz-ieUZj_OUw0XfChh4AaABAg,The Beast,"I want to see her.
I'm happy she is back. 
She is hot and I love her ❤️.",2020-09-02T17:25:23Z,0
17,UgztdTUyxJXpY7yNynt4AaABAg,Comic Gladiator,"Holy false equivalency, Batman!",2020-09-02T16:49:06Z,0
18,UgztdTUyxJXpY7yNynt4AaABAg,Nikki Jones,queendsheena1 he lost his captain jack role,2020-09-02T14:46:48Z,0
19,Ugw1TSDb4JolOA7Rgod4AaABAg,wayt pages,Edward Snowden and the Watergate scandal disagrees with you.,2020-09-03T00:41:28Z,2
20,Ugw1TSDb4JolOA7Rgod4AaABAg,Kreature Kie,"Wiretapping is never illegal

Videos rarely lie",2020-09-02T19:00:41Z,0
21,UgxdhJTbeSHwzZ073eF4AaABAg,Sacré Bleu The Deadly Poke Of Zorro,Amber Heard is _so_ hated that they could recast her role _with_ Brie Larson and even the most hardcore Brie Larson haters would welcome it.,2020-09-02T17:20:32Z,0
22,UgyniAihQkDjY6mqv4V4AaABAg,Mcheetah,"That's still supporting the idea of a domestic abuser getting away with ruining a man's career and lying because she has a vagina. If you're still going to support Warner Bros and show favor, you might as well not half ass it and just do it and say you don't care about the drama.",2020-09-02T14:34:46Z,0
23,Ugzf_oiCUmEZ2qNICYx4AaABAg,TOS,"@Adam Whoriskey and I have a big problem with that character.  If you don't,  that's good for you.    You'll enjoy the movie.  If she's in it,  it will ruin the movie for me.",2020-09-02T16:02:27Z,0
24,Ugzf_oiCUmEZ2qNICYx4AaABAg,Adam Whoriskey,@TOS And ?,2020-09-02T15:54:54Z,0
25,Ugzf_oiCUmEZ2qNICYx4AaABAg,TOS,"@Adam Whoriskey They are supposed  to be introducing ""America Chavez"" in the movie.",2020-09-02T15:15:44Z,0
26,Ugzf_oiCUmEZ2qNICYx4AaABAg,asisin2,"adam whoriskey yea what happened, dr strange is probably the only movie im looking forward to in the woke phase",2020-09-02T13:58:10Z,0
27,Ugzf_oiCUmEZ2qNICYx4AaABAg,Adam Whoriskey,Dr strange ? What happened there i dont remember any controversy,2020-09-02T13:56:49Z,0
28,UgzwrYGQqjHfLH-narh4AaABAg,Roy CyberPunk,They just examine the evidence which is overwhelming against her. But even if she is found guilty of all charges she will probably only get a small reprimend if at all. I would not be surprised that afterwards someone decides to impart street justice upon Heard and shoot her dead where she stands. And as much as I hate such a conclusion it is all but inevitable at this point.,2020-09-02T14:22:12Z,1
29,UgxSV9jJdWflqQNpdiJ4AaABAg,Stella Lewis,Classic NARCISSIST!,2020-09-07T19:52:57Z,0
30,UgxSV9jJdWflqQNpdiJ4AaABAg,Talia al Ghul,"I had my doubts too that something would happen to her as a result for what she did to Depp, but I still was cautiously optimistic.",2020-09-02T14:34:15Z,2
31,Ugz3yv5gzPfnUoaH-s54AaABAg,Talia al Ghul,LOL,2020-09-02T13:43:39Z,1
