,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugz8fWK75qft7r7ihq94AaABAg,Eline Margot,Thank you! <3,2021-09-24T12:12:47Z,0
1,UgxT3I05_9h1UJWwgDN4AaABAg,Eline Margot,"Thank you for listening. Yes, there really is. It's horrible :( <3",2021-09-20T19:48:43Z,0
2,Ugx3ieoKDeYOY9Yzxrl4AaABAg,Lindsey Depp,@Eline Margot my pleasure,2021-09-24T00:43:48Z,0
3,Ugx3ieoKDeYOY9Yzxrl4AaABAg,Eline Margot,@Lindsey Depp Thank you so much! <3,2021-09-21T18:24:39Z,0
4,Ugx3ieoKDeYOY9Yzxrl4AaABAg,Lindsey Depp,@Eline Margot and you have done a Fantasmagorical  job at it too,2021-09-20T19:50:58Z,0
5,Ugx3ieoKDeYOY9Yzxrl4AaABAg,Eline Margot,"This documentary was made to simplify this matter, and clear his name when there was a lot of rumors going around. It was made in favor of Johnny, to help him. <3",2021-09-20T19:48:08Z,0
6,UgylEEAfGnBdxy1rk3B4AaABAg,Eline Margot,"Yes, I think so too!",2021-09-20T19:46:48Z,0
7,UgxxDykLcO97LXSPrG94AaABAg,Eline Margot,"There's not respect at all, which is disgusting. Mutual respect should be the core values in any relationship!",2021-09-20T19:46:29Z,1
8,UgzZxKvFQEU1P9_JZX94AaABAg,Eline Margot,It smells amazing actually!!,2021-08-16T17:46:47Z,0
9,UgxbfCAAp6s-G07ZmNt4AaABAg,Eline Margot,Thank you so much! <3,2021-08-16T17:46:32Z,0
10,UgyKY2T0vqkhL0WYDYF4AaABAg,Eline Margot,It's actually disgusting. He once showed her off him when she was hitting him and she called that abuse. Like he hits he too so it's fine when she does it. Such gaslighting,2021-08-16T17:46:19Z,0
11,Ugz2K8ZhsZPWEitcyYF4AaABAg,Eline Margot,Of course! <3,2021-07-18T21:27:59Z,0
12,UgzhbF4FeBulhi9Qpyl4AaABAg,Eline Margot,"It's is so weird, to be real..",2021-07-02T12:11:45Z,1
13,Ugzug8plJxk3FokkEPl4AaABAg,Deborah Oliver,More people have to change way of thinking. So we CAN make this a better place. #MENtoo,2021-06-28T18:38:18Z,1
14,Ugzug8plJxk3FokkEPl4AaABAg,Eline Margot,that's so nice of you! <3,2021-06-28T17:26:38Z,0
15,UgxUZ40oaXWXaj9iEq14AaABAg,Eline Margot,48 hours to be exakt :) Thank you for watching <3,2021-06-12T14:22:44Z,0
16,Ugy2CNBz6S5L1ymTZyZ4AaABAg,Eline Margot,:D,2021-06-11T17:11:59Z,0
17,Ugx2GAYFGWT6v4J7YZZ4AaABAg,Lindsey Depp,"@Eline Margot that’s because 💩face caused my beautiful angel so much stress, plus he was filming the professor also",2021-09-18T00:47:18Z,0
18,Ugx2GAYFGWT6v4J7YZZ4AaABAg,Eline Margot,"He's looking better at least, remember when he people a few years ago thought he had cancer or something? He looked to weak and pale, now he looks like he's healing. I am so happy for him, getting rid of that toxic woman.",2021-04-27T04:54:24Z,2
19,UgxMOs7Rf_4X0ahyS9t4AaABAg,Lindsey Depp,"Let her try and confront his wife to be Rocky Roxy she’d be 6ft under, my gorgeous husband to be Johnny Depp is no monster but a kind loving caring man and fantastic father",2021-09-18T00:59:32Z,0
20,UgxMOs7Rf_4X0ahyS9t4AaABAg,Rachel Olson,Pure evil 😈😳,2021-05-17T09:19:13Z,1
21,UgxMOs7Rf_4X0ahyS9t4AaABAg,Eline Margot,I know it's fucking vile,2021-04-27T04:52:56Z,2
22,UgzcwyJF3JGlhDgBsSh4AaABAg,Eline Margot,"The way it should be, yes :)",2021-03-26T19:14:15Z,0
23,UgxaHXWsw8tIpdbZBwx4AaABAg,Lindsey Depp,@Maria Teresa Pitto thank you for supporting my beautiful husband to be Johnny Depp and he also appreciates it. The future Mr and Mrs Johnny Depp,2021-09-18T00:50:27Z,0
24,UgxaHXWsw8tIpdbZBwx4AaABAg,Maria Teresa Pitto,@Rachel Olson ❤️,2021-05-17T23:05:03Z,1
25,UgxaHXWsw8tIpdbZBwx4AaABAg,Rachel Olson,"Always have too. You know when the hairs on the back of your neck stand up when facing evil? Mine have not gone down since she has been on the scene. Take the trash out it smells like A💩! 
ONLY ❤✌FOR MR. DEPP AND HIS FAMILY 💋",2021-05-17T09:18:37Z,2
26,UgyWeXhUTtyuAdFoEcp4AaABAg,Eline Margot,You're welcome :),2021-02-16T22:43:48Z,0
27,UgxXiTWB_4hYPtnGtxp4AaABAg,Eline Margot,"Yes she has. I hope she will get busted for it, and the punishment she deserves.",2021-01-22T15:23:17Z,1
28,UgwHyqff9DEGBw20ZdR4AaABAg,Lindsey Depp,And she said it wasn’t about  the money lying 🤥 piece of bull crap 💩,2021-09-18T00:51:44Z,0
29,UgyGy-7TFqIYEpP1XMd4AaABAg,Kate Vernile,@Eline Margot Social Media🤗,2021-01-22T17:27:11Z,0
30,UgyGy-7TFqIYEpP1XMd4AaABAg,Eline Margot,sm? Thank youuu! :) <3,2021-01-22T15:21:45Z,0
31,UgwMAfkLrDehnga8Z1V4AaABAg,Jay A Errington,@Eline Margot unfortunately they know and still support her and attack people trying to expose her. They excuse her behaviour and attack for not believing all women. It's sick but thankfully there are a few thousand of them and millions of us xx,2021-05-11T14:08:52Z,0
32,UgwMAfkLrDehnga8Z1V4AaABAg,Eline Margot,"Share it with anyone that supports her, it's why I made the video. To make the most vile things she´s done easier to find and understand. Thank you <3",2021-01-22T15:21:27Z,2
33,Ugzyjy-0xMinPRIbwR14AaABAg,Eline Margot,"I'm glad I did. You should watch the full video, it is linked in the description, It's really eye openening. Thank you for your lovely comment <3",2021-01-22T15:20:20Z,1
34,UgzmrvOkKQUI2OIxk9Z4AaABAg,Rachel Olson,"A💩 does not have friends,  they are called leaches and only jump to the next 
Party/Host as a gang",2021-05-17T09:23:59Z,0
35,UgzmrvOkKQUI2OIxk9Z4AaABAg,Eline Margot,Feel free to share the video wherever you want to :) I'm doing my best to make it reach as many people as possible but the youtube algorithm just doesn´t always make sense,2021-01-13T22:25:03Z,1
36,UgyWW28o_si-UeEKBdt4AaABAg,Eline Margot,I'm so happy you liked it :D,2021-01-13T22:21:18Z,1
37,UgxNxjQyOxszsqIB5Vt4AaABAg,Eline Margot,"Thank you so much, it took me 48 hours to make :) Makes me really happy to hear people liking it. :)",2021-01-10T15:01:45Z,1
38,UgywBa_zzCC_2IMsU1J4AaABAg,Eline Margot,"People are sometimes blind to the truth. But eventually it comes out and they can't close their eyes to it. Take every battle when someone says anything bad about Johnny. Make every ignorant person look at the evidence, and hear the other side of the matter. :)",2021-01-10T15:01:09Z,1
39,Ugxbs8rENkLUgLxuDLR4AaABAg,Eline Margot,"Thank you, this video took me 48 hours to make xd",2021-01-10T14:59:27Z,1
40,UgwD5dxcxp0RIkZRc9p4AaABAg,Jay A Errington,@Eline Margot sorry this just popped back up in my feed and saw this bottom comment and I was agreeing with you but it doesn't sound like it rereading it.. Sorry x,2021-05-11T14:00:09Z,1
41,UgwD5dxcxp0RIkZRc9p4AaABAg,Jay A Errington,@Eline Margot no its not OK,2021-01-13T23:16:29Z,2
