,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyKCK8uXpirH2nxonZ4AaABAg,Johnny Depp,💕💓Thanks for your utmost love which has brought me this far. It has been a hard time for me but your support got me going. Where are you watching from?💕,2021-08-12T20:56:27Z,0
1,Ugyg3C08wDBUKvhLz754AaABAg,Johnny Depp,💕💓Thanks for your utmost love which has brought me this far. It has been a hard time for me but your support got me going. Where are you watching from?💕,2021-08-12T20:58:27Z,0
2,UgzpzAAAHyiChinRrTx4AaABAg,Raquel Dobson,"AH has EM’s money, having the kid made sure of that…that & whatever she has held over him in terms of video/photo evidence of something damning… will also be interesting to see what her salary for AM2 was…",2021-07-24T07:35:21Z,0
3,Ugy5qZ7miSYDqad_DFR4AaABAg,Rock Candy,nick wallis -tv reporter's web site has the documents and Tug has videos,2021-07-25T10:19:28Z,0
4,Ugyk3z280NkB8EGOt1x4AaABAg,Livonda Beach,@Rock Candy me too! (huh? Lol) I'm boycotting all Disney and Warner brothers.,2021-07-25T23:33:22Z,1
5,Ugyk3z280NkB8EGOt1x4AaABAg,Rock Candy,@Livonda Beach i'm boycotting anything she's in - can't handle seeing her on screen,2021-07-25T22:22:03Z,0
6,Ugyk3z280NkB8EGOt1x4AaABAg,Livonda Beach,"@Rock Candy everyone here is so sure he's going to win. Look hard at what the lawsuit is about. It's not about whether there was abuse, it's about whether she ""defamed""him.
The five requisite elements of a defamation lawsuit?
A statement of fact. Of course, for defamation to have occurred, somebody must have made the statement that is considered defamatory. ... 
A published statement. ... 
The statement caused injury. ... 
The statement must be false. ... 
The statement is not privileged. ... 
The key here is ""the statement must be false"".  Johnny's addictions are going to play a huge part in this. It is not about whether AH abused him, it's about whether her statements were false. Sorry to say that when Johnny is questioned he does not come across as blame free. Don't be so sure he's going to win just because she is an evil conniving narcissist. This is a matter of ""law"" not what the general public ""feels"" about the situation. The fact that she is a liar still does not mean she ""defamed"" him and unless she specifically said in writing that ""Johnny hit and abused me"" then she cannot be blamed for the implication. This is a slippery slope for Johnny and he is better off having her ""retract "" her statements in public to vindicate him than winning a monetary victory. His reputation is tarnished no matter what. The only plus in this would be for her reputation to be irrevocably tarnished to the point of losing any and all future work, but that won't happen in Hollywood cause it is corrupt and only looks at $$$. Boycott all her movies, that's the only way the studios will get the message that their reactions were one-sided.",2021-07-25T10:55:33Z,0
7,Ugyk3z280NkB8EGOt1x4AaABAg,Rock Candy,"not sure about that.  every time he believed her - she lied and betrayed him to his core.  His personal life has been exposed because of her already, there's no reason to settle.",2021-07-25T10:25:52Z,0
8,UgyW00ikIC8-ycOeCp14AaABAg,Hoptoit,"Hopefully that will be part of the VA case. I’m sure that JD’s legal team are working on this. In a way it’s good that the case isn’t until next year because it gives JD’s team more time to prepare. In the meantime, AH’s legal team should be doing the same but it’s stuff that’s not in her favour at all. So much more stuff about AH has come out as we know. 

She’s screwed I think. I pray that JD will get the justice he deserves and she in turn will be punished for all the damage she’s caused. A person cannot be allowed to get away with what she has done (and then to think bringing a child into the world at this time will gain her sympathy and everything will be waved away.)",2021-07-24T00:33:28Z,1
9,UgxKDuCBmFchMPseqsV4AaABAg,Hoptoit,"_exactly_ It’s not about her so called calling out an abu ser, it’s because she’s a vindictive liar. The women who called out Weinstein didn’t have the public turn on them. They were for the most part supported. AH is just a liar with an ulterior motive",2021-07-24T00:40:16Z,0
10,UgwcQGjm3B_12eNg4ct4AaABAg,jessy 76,Hmm 🤔!! Can't have it both ways you know,2021-07-24T06:54:37Z,2
11,UgxvuEtCkXwYW3xHiHh4AaABAg,Theia_Loki,How long until she (the judge) just straight up out-and-out rules in Johnny's favor relatively immediately and sentences the TURD-ness to *10+ years in Federal Prison* plus anything else that should be consequential for good with what evidence they've got already?,2021-07-24T01:18:22Z,0
