,id,comment,author,likecount,publishedAt
0,UgxG4QE6qnJb_BR5qB94AaABAg,Double Standard,H Easton,1,2021-11-15T15:07:50Z
1,UgxoEBfXBYFdM2JJfrV4AaABAg,She Needs to be charged and put in prison.,eloisa p,1,2021-11-13T19:09:05Z
2,UgxXDmo-f5MPPTYPq9J4AaABAg,Amber sucks you can see right through her lies!! Remove her ugh!,Rae Martin,1,2021-11-11T21:34:42Z
3,UgyQpoKMOCoTZQ0BnhZ4AaABAg,NOT WATCHING THIS DAMN MOVIE‼️‼️ I love Jason M and aquaman but wrong is wrong and I can’t support smt that supports bias and domestic violence. This is just about as unfair as it gets . Domestic violence is domestic violence and if it were the other way around jD’s career would be deeper in the toilet . But bec society is so gender Biased when it comes to situations like these this is the result . The guilty female still has it all while JD has basically been canceled…,Brittany Bartley,1,2021-11-11T05:29:02Z
4,UgyS4N5zki4SdgYPWeN4AaABAg,Pussy pass,Joseph LeForte,0,2021-11-04T09:36:13Z
5,UgwcmAuZDXycJ6zjxrZ4AaABAg,Car Anwar was killed off for less. But he had many young women come forward.,Jennifer Adams Franklin,0,2021-10-28T11:15:21Z
6,Ugy-XuLhiGdJ3y7KcaR4AaABAg,A.H. will be the reason this movie fails. People will be protesting this movie as it comes out. But if her fellow actors don't mind it losing money then that's on them. A.H. admits J.D.  goes into another room instead of fighting with her and A.H. admits hitting J.D. an couldn't promise to stop. So if they keep her than I keep my money like millions of others.,A _Texan,1,2021-10-26T16:39:33Z
7,UgyBWLJHmQ9GCFwhcR14AaABAg,They can keep her. We will keep our money.,Elethu Duna,1,2021-10-20T10:26:33Z
8,Ugz4BzYp57HlJK0sQUB4AaABAg,"Johnny Depp's fans are being alienated by tons of fake news that have been thrown away on the internet (especially here on youtube) based on a portion of an audio. He was pleaded guilty by court, if AH was abusive, JD was abusive too, he's not an angel as his army wants to make everybody believe.",Livia Amaral,0,2021-10-19T18:50:58Z
9,Ugx-DJWEMgcbjFzcixV4AaABAg,Yeah wait for the movie when it flops,Sagar roy,1,2021-10-18T02:52:48Z
10,Ugy6UAsR6ahaZkCh6oZ4AaABAg,The girl here is the only one who has any sense.,Smarti,1,2021-10-17T04:45:43Z
11,UgxuFM5deSrCFsZFdZp4AaABAg,I wouldn't even pirate this movie,Shawn Wolvin,1,2021-10-16T16:23:23Z
12,Ugz48wOM_hjcKPHUEPl4AaABAg,Just pirate the movie,Tunderdragon,1,2021-10-16T05:40:12Z
13,UgymLyADx2XHiCU21Kd4AaABAg,I’ll simply not watch or pay in any way to watch Aquaman the sequel.,NewVenomH2O,1,2021-10-16T03:33:02Z
14,UgwQsi-abH8aGq3s7sN4AaABAg,"I'm not a Johnny depp fan, but I'm against abusers like Amber heard (being a survivor or narcissistic abuse myself!!) You idiots!",Lo,2,2021-10-14T19:19:39Z
15,UgwuKJTVkD8sz3eVrMh4AaABAg,The typical double standard.,Mark James,2,2021-10-09T16:29:31Z
16,UgxltOToWiL0h9CgjuN4AaABAg,How much do you wanna bet Amber's co-stars were tempted to leave the movie?,Alan Sohn,2,2021-10-09T07:32:08Z
17,UgzWvlTcaxh7UV3k-hx4AaABAg,These ET hosts are SO stupid,Dindin,2,2021-10-07T16:49:27Z
18,UgytsO-Xy-LYcZ2YLx54AaABAg,"She shouldn't be fired because of her actions in this situation, she should be fired because she has zero acting ability",Robert Mofford,1,2021-10-07T06:56:17Z
